ID,Nombre,Estado,Creado,Actualizado,Estado de Compra,Factura,Fecha de factura,Fecha de pago,Moneda,Proveedor,Referencia,Tipo de cambio,Total del documento,Total indirectos,Total moneda ext
9477111400,503,active,2025-06-29T17:45:34Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951182/DRI0209273M1FFA029810.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256951180/DRI0209273M1FFA029810.pdf",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29810,,,,
9477111497,504,active,2025-06-29T17:45:40Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951236/DRI0209273M1FFA029811.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256951237/DRI0209273M1FFA029811.pdf",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29811,,,,
9477111527,506,active,2025-06-29T17:45:42Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951330/DRI0209273M1FFA029802.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2256951331/DRI0209273M1FFA029802.xml",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29802,,,,
9477111568,496,active,2025-06-29T17:45:46Z,2025-07-03T02:24:48Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951416/DRI0209273M1FFA029816.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256951415/DRI0209273M1FFA029816.pdf",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29816,,,,
9477111604,498,active,2025-06-29T17:45:49Z,2025-07-03T02:24:51Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951620/DRI0209273M1FFA029818.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256951619/DRI0209273M1FFA029818.pdf",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29818,,,,
9477111650,497,active,2025-06-29T17:45:52Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951806/DRI0209273M1FFA029817.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256951807/DRI0209273M1FFA029817.pdf",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29817,,,,
9477111712,495,active,2025-06-29T17:45:56Z,2025-07-03T02:24:52Z,,https://drillcompany.monday.com/protected_static/2306999/resources/2256951886/DRI0209273M1FFA029814.xml,2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29814,,,,
9477111869,505,active,2025-06-29T17:45:59Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256951980/DRI0209273M1FFA029801.pdf, https://drillcompany.monday.com/protected_static/2306999/resources/2256951981/DRI0209273M1FFA029801.xml",2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29801,,,,
9477111905,500,active,2025-06-29T17:46:03Z,2025-07-03T02:24:52Z,,https://drillcompany.monday.com/protected_static/2306999/resources/2256952121/DRI0209273M1FFA029820.pdf,2025-06-25,,,DRILL COMPANY S.A. DE C.V.,FA29820,,,,
9477111962,493,active,2025-06-29T17:46:07Z,2025-07-03T02:24:52Z,,"https://drillcompany.monday.com/protected_static/2306999/resources/2256952196/DRI0209273M1FFA029827.xml, https://drillcompany.monday.com/protected_static/2306999/resources/2256952197/DRI0209273M1FFA029827.pdf",2025-06-26,,,DRILL COMPANY S.A. DE C.V.,FA29827,,,,
